type,country,rating,listed_in,Value
Movie,United States,PG-13,Documentaries,1
Movie,United States,PG-13,Comedies,1
TV Show,India,TV-Y7,Kids' TV,1
TV Show,United States,TV-PG,Reality TV,1
TV Show,United Kingdom,TV-Y,Kids' TV,1
Movie,United States,R,Action & Adventure,1
Movie,United States,R,Thrillers,1
Movie,United States,TV-MA,Comedies,1
TV Show,Russia,TV-Y,Kids' TV,1
TV Show,United States,TV-PG,TV Comedies,1
Movie,United States,PG-13,Comedies,1
TV Show,United States,TV-PG,Reality TV,1
Movie,United States,TV-MA,Horror Movies,1
TV Show,United States,TV-G,Reality TV,1
TV Show,United States,TV-Y,Kids' TV,1
TV Show,United States,TV-Y,Kids' TV,1
TV Show,Italy,TV-Y7,Kids' TV,1
TV Show,United States,TV-Y7,Kids' TV,1
Movie,Colombia,TV-MA,Stand-Up Comedy,1
TV Show,United States,TV-PG,Reality TV,1
TV Show,United States,TV-Y,Kids' TV,1
TV Show,India,TV-MA,TV Shows,1
Movie,United Kingdom,TV-14,Documentaries,1
Movie,United States,TV-MA,Horror Movies,1
Movie,United States,TV-MA,Movies,1
TV Show,United States,TV-MA,Reality TV,1
TV Show,United States,TV-14,TV Comedies,1
TV Show,Italy,TV-Y7,Kids' TV,1
Movie,United States,PG-13,Comedies,1
Movie,United States,PG-13,Dramas,1
Movie,United States,R,Horror Movies,1
Movie,United States,PG-13,Thrillers,1
Movie,United States,R,Stand-Up Comedy,1
Movie,United States,TV-14,Documentaries,1
TV Show,United States,TV-MA,Docuseries,1
Movie,India,TV-Y7,Children & Family Movies,1
Movie,India,TV-Y7,Children & Family Movies,1
TV Show,United States,TV-14,TV Dramas,1
Movie,New Zealand,TV-MA,Dramas,1
Movie,United States,R,Action & Adventure,1
Movie,United States,PG-13,Dramas,1
Movie,United States,TV-MA,Documentaries,1
TV Show,United States,TV-Y,Kids' TV,1
TV Show,United States,TV-PG,Docuseries,1
TV Show,United States,TV-Y,Kids' TV,1
TV Show,United States,TV-MA,TV Comedies,1
TV Show,United States,TV-Y7,Kids' TV,1
Movie,United States,R,Action & Adventure,1
Movie,United States,PG-13,Comedies,1
Movie,United States,R,Comedies,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United States,PG-13,Dramas,1
Movie,United States,R,Thrillers,1
Movie,United States,R,Action & Adventure,1
TV Show,United States,TV-MA,Reality TV,1
Movie,United States,R,Thrillers,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United States,R,Dramas,1
Movie,United States,R,Horror Movies,1
TV Show,United States,TV-14,TV Comedies,1
TV Show,Spain,TV-Y,Kids' TV,1
TV Show,United States,TV-MA,TV Dramas,1
TV Show,United States,TV-MA,Docuseries,1
Movie,United States,PG-13,Dramas,1
Movie,Canada,TV-MA,Dramas,1
Movie,United States,TV-MA,Documentaries,1
TV Show,United States,TV-G,Kids' TV,1
Movie,United States,R,Action & Adventure,1
Movie,United States,TV-MA,Documentaries,1
